n_subs,rank,genotype,mu_real,sigma_real
14,97,0-4-4-1-1-3-1-1-3-1-3-1-1-4-4-0,830.39526,124.885216
14,98,0-3-4-2-1-2-1-1-1-1-1-1-1-4-3-0,835.6778,130.33348
14,99,0-3-4-1-1-1-1-1-1-1-2-1-2-4-3-0,835.6778,130.33348
14,100,0-4-4-2-1-2-1-3-3-1-3-1-2-4-4-0,856.17847,150.86447
15,1,3-1-4-1-1-3-0-1-1-1-1-1-1-4-1-1,668.7159,118.3775
15,2,1-1-4-1-1-1-1-1-1-0-3-1-1-4-1-3,668.7159,118.3775
15,3,1-1-4-1-1-1-1-1-1-0-3-1-1-4-1-2,664.6962,120.931984
15,4,1-1-4-1-1-1-1-1-1-0-2-1-1-4-1-3,666.51904,123.08331
15,5,3-1-4-1-1-2-0-1-1-1-1-1-1-4-1-1,666.51904,123.08331
15,6,2-1-4-1-1-3-0-1-1-1-2-1-1-4-1-1,659.9358,121.12181
15,7,1-1-4-1-1-2-1-1-1-0-2-1-1-4-1-3,661.5237,123.158035
15,8,3-1-4-1-1-2-0-1-1-1-2-1-1-4-1-1,661.5237,123.158035
15,9,2-1-4-1-1-2-0-1-1-1-1-1-1-4-1-1,662.52216,125.641
15,10,2-1-4-1-1-1-1-1-1-0-3-1-1-4-1-3,665.6282,129.01828
15,11,3-1-4-1-1-1-0-1-1-1-1-1-1-4-1-1,659.78253,123.35983
15,12,3-1-4-1-1-3-0-1-1-1-1-1-1-3-1-1,636.94965,100.54679
15,13,1-1-3-1-1-1-1-1-1-0-3-1-1-4-1-3,636.94965,100.54679
15,14,3-1-4-1-1-2-0-1-1-1-1-1-1-4-1-3,664.9026,130.54305
15,15,2-1-4-1-1-1-1-1-1-0-2-1-1-4-1-3,666.7224,134.00583
15,16,3-1-4-1-1-1-1-1-1-0-1-1-1-4-1-3,662.58496,130.77725
15,17,3-1-4-1-1-3-0-1-1-1-3-1-1-4-1-1,646.7766,114.98892
15,18,3-1-4-1-1-1-0-1-1-1-2-1-1-4-1-1,654.86633,123.423805
15,19,2-1-4-1-1-1-1-1-1-0-3-1-1-4-1-2,662.00055,131.67398
15,20,1-1-4-1-1-1-1-1-1-0-1-1-1-4-1-2,655.28186,125.934074
15,21,3-1-4-1-1-3-0-1-3-1-1-1-1-4-1-3,658.3552,129.25224
