Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,-1.3668982868496042
0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0.9896772160816051
0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,-0.8327896623708193
0,0,1,3,0,0,2,2,0,0,3,0,0,0,2,0,0.1867337182238402
0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0.44472421456672284
0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,0.05390786356763469
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.562829352758341
0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0.6177814532055849
0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,0.3456281067199217
0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,0.021204651263668512
0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,0.129547128823668
0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,1.4581798540162019
0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0.7681566635895225
0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,0.14241962962861077
2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,-1.3785031158094656
4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09070046040835714
0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,0.7144714790709346
0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,-2.29871948787469
0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,0.8431783451261575
1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,-0.6362120841614717
0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0.008132588522469893
2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.08324485670648654
0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,0.5114595402501785
0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,0.5578924625852785
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2950625892881854
2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0.2627139017876438
0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1.0859409050831355
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2647042297352287
0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0.8604790043499945
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1.4919511762289936
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2546470887784746
0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0.024022707696860827
1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,-0.9590964937759924
0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,-2.7523177216533727
0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,-0.14360251551042516
0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0.4755217615627285
0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,-0.9264673612816974
0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0.7298112910877711
0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,0.4488182579256736
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.7432613120415755
0,0,0,0,0,2,0,0,0,4,2,2,0,3,0,0,-0.44905851602524743
0,0,0,0,0,1,3,0,3,0,4,0,0,1,0,1,-1.0985411526513582
0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,0.1269089804996762
2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0.7703767901303719
1,0,0,2,1,0,0,4,0,0,3,0,2,0,0,0,-1.2218878153353994
0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1.2801706068757726
4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0.1054900885912818
3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,-1.277777252149907
2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,-0.517020694066823
3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4136174977528055
0,3,0,0,0,1,0,2,0,0,4,0,0,2,0,0,1.3299643336373674
0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,0.39791257810259106
0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0.8402045699093714
2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,0.6094671284446737
4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,-0.010602800076420617
0,0,1,0,0,0,0,0,4,0,0,0,1,4,1,0,1.5679797384440108
1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,-0.48428270960729725
0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.296701743178744
0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,-1.9028543710716084
0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1.2926137471511951
0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,0.16208025993196154
0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0.1879900513225433
0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0.572514153998163
0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,0.24294744318476408
4,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,-0.22276132764224757
0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,0.2694075417329007
0,0,0,3,2,0,4,2,0,0,0,0,0,3,0,3,-1.3413982021614876
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9843895806872445
0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,0.2861707443784116
4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,-0.3272440959351122
0,1,0,3,0,0,0,2,3,0,2,1,0,0,0,0,0.022805682252268773
0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,0.20589695551940052
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1106646636025583
0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,0.1369483065429232
0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,-1.2400275417912225
0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,-0.5981758814776319
2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0.4705380045713026
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,-0.10834506160566618
0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0.11502143879678549
0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,-0.7614538293235205
0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0.37404678472578373
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.31260967726664246
4,0,0,0,1,0,0,3,4,2,0,0,0,0,0,2,-0.929444916080609
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.7775564843370396
0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0.20955029960245303
